category,method,seed,tau_q99,fa_q99,md_q99,cwe_q99_r10,cwe_q99_r20,cwe_q99_r50,tau_b5,fa_b5,md_b5,cwe_b5_r10,cwe_b5_r20,cwe_b5_r50,tau_cct_r10,fa_cct_r10,md_cct_r10,cwe_cct_r10,cwe_cct_r20,cwe_cct_r50,tau_oracle,fa_oracle,md_oracle,cwe_oracle_r10
bottle,autoencoder,123,0.08765893120318652,0.0,969.6969696969697,0.09696969696969697,0.19393939393939394,0.48484848484848486,0.08840766767039895,0.0,969.6969696969697,0.09696969696969697,0.19393939393939394,0.48484848484848486,2.232071578502655,0.0,1000.0,0.1,0.2,0.5,0.04645110201090574,1000.0,0.0,0.0
bottle,autoencoder,2026,0.09468899831175805,0.0,939.3939393939395,0.09393939393939396,0.18787878787878792,0.4696969696969698,0.09566875629127025,0.0,939.3939393939395,0.09393939393939396,0.18787878787878792,0.4696969696969698,2.0950130820274353,0.0,969.6969696969697,0.09696969696969697,0.19393939393939394,0.48484848484848486,0.03877372667193413,1000.0,0.0,0.0
bottle,autoencoder,42,0.07470688885077834,100.0,727.2727272727273,0.17172727272727273,0.24445454545454545,0.4626363636363636,0.07490831478498876,100.0,727.2727272727273,0.17172727272727273,0.24445454545454545,0.4626363636363636,0.07519321329891682,5.0,727.2727272727273,0.17172727272727273,0.24445454545454545,0.4626363636363636,0.046984052285552025,1000.0,0.0,0.0
bottle,padim,123,12.218077602386474,100.0,0.0,0.099,0.099,0.099,12.333791704177857,100.0,0.0,0.099,0.099,0.099,14.122587203979492,5.0,30.303030303030305,0.10203030303030304,0.10506060606060606,0.11415151515151516,12.691278457641602,100.0,0.0,7.674418604651163
bottle,padim,2026,12.226332807540894,100.0,0.0,0.099,0.099,0.099,12.337919783592223,100.0,0.0,0.099,0.099,0.099,14.122587203979492,5.0,30.303030303030305,0.10203030303030304,0.10506060606060606,0.11415151515151516,12.691278457641602,100.0,0.0,7.674418604651163
bottle,padim,42,12.254945831298828,100.0,0.0,0.099,0.099,0.099,12.352225818634034,100.0,0.0,0.099,0.099,0.099,12.691278457641602,5.0,0.0,0.099,0.099,0.099,14.434249877929688,100.0,0.0,7.674418604651163
bottle,patchcore,123,1.3293638134002685,200.0,0.0,0.198,0.198,0.198,1.3346118879318238,200.0,0.0,0.198,0.198,0.198,1.8718891143798828,0.0,30.303030303030305,0.0030303030303030303,0.006060606060606061,0.015151515151515152,1.7656351327896118,0.0,0.0,7.674418604651163
bottle,patchcore,2026,1.3315479576587677,200.0,0.0,0.198,0.198,0.198,1.3357039600610734,200.0,0.0,0.198,0.198,0.198,1.9531629085540771,0.0,60.60606060606061,0.006060606060606061,0.012121212121212121,0.030303030303030304,1.7656351327896118,0.0,0.0,7.674418604651163
bottle,patchcore,42,1.4091965460777283,0.0,0.0,0.0,0.0,0.0,1.412625278234482,0.0,0.0,0.0,0.0,0.0,1.7656351327896118,0.0,0.0,0.0,0.0,0.0,1.9531629085540771,0.0,0.0,7.674418604651163
cable,autoencoder,123,0.39474340975284566,34.48275862068965,978.2608695652174,0.1319640179910045,0.22979010494752625,0.5232683658170916,0.40406167730689047,34.48275862068965,978.2608695652174,0.1319640179910045,0.22979010494752625,0.5232683658170916,0.40406167730689047,5.0,978.2608695652174,0.1319640179910045,0.22979010494752625,0.5232683658170916,0.030039573553949594,1000.0,0.0,0.0
cable,autoencoder,2026,0.4247344005107879,0.0,1000.0,0.1,0.2,0.5,0.42968941941857336,0.0,1000.0,0.1,0.2,0.5,0.42968941941857336,0.0,1000.0,0.1,0.2,0.5,0.034858970902860165,1000.0,0.0,0.0
cable,autoencoder,42,0.40563487917184826,34.48275862068965,1000.0,0.13413793103448277,0.23413793103448277,0.5341379310344827,0.4071118864417076,34.48275862068965,1000.0,0.13413793103448277,0.23413793103448277,0.5341379310344827,0.4541301801800728,0.0,1000.0,0.1,0.2,0.5,0.04842782020568848,1000.0,0.0,0.0
cable,padim,123,19.05457275390625,0.0,782.608695652174,0.0782608695652174,0.1565217391304348,0.391304347826087,19.28162654876709,0.0,782.608695652174,0.0782608695652174,0.1565217391304348,0.391304347826087,20.130449295043945,0.0,804.3478260869565,0.08043478260869566,0.16086956521739132,0.40217391304347827,12.014972686767578,448.2758620689655,0.0,6.133333333333334
cable,padim,2026,18.741536483764644,0.0,760.8695652173914,0.07608695652173914,0.15217391304347827,0.3804347826086957,19.12510841369629,0.0,826.0869565217391,0.08260869565217391,0.16521739130434782,0.4130434782608695,19.930871963500977,0.0,847.8260869565217,0.08478260869565218,0.16956521739130437,0.4239130434782609,12.506000518798828,310.3448275862069,65.21739130434783,6.133333333333334
cable,padim,42,18.462799530029294,0.0,760.8695652173914,0.07608695652173914,0.15217391304347827,0.3804347826086957,18.98573993682861,0.0,760.8695652173914,0.07608695652173914,0.15217391304347827,0.3804347826086957,20.302873611450195,0.0,869.5652173913044,0.08695652173913043,0.17391304347826086,0.43478260869565216,12.014973640441895,448.2758620689655,43.47826086956522,6.133333333333334
cable,patchcore,123,2.360316038131714,34.48275862068965,86.95652173913044,0.0428335832083958,0.051529235382308844,0.07761619190404798,2.3709179162979126,34.48275862068965,86.95652173913044,0.0428335832083958,0.051529235382308844,0.07761619190404798,2.382683515548706,5.0,108.69565217391305,0.045007496251874064,0.05587706146926537,0.08848575712143927,2.2571523189544678,68.9655172413793,21.73913043478261,6.133333333333334
cable,patchcore,2026,2.3910430526733397,0.0,152.17391304347828,0.015217391304347828,0.030434782608695657,0.07608695652173914,2.3928947973251344,0.0,152.17391304347828,0.015217391304347828,0.030434782608695657,0.07608695652173914,2.411566972732544,0.0,152.17391304347828,0.015217391304347828,0.030434782608695657,0.07608695652173914,2.3107221126556396,0.0,65.21739130434783,6.133333333333334
cable,patchcore,42,2.360316038131714,34.48275862068965,65.21739130434783,0.04065967016491754,0.047181409295352326,0.06674662668665668,2.3709179162979126,34.48275862068965,65.21739130434783,0.04065967016491754,0.047181409295352326,0.06674662668665668,2.382683515548706,5.0,65.21739130434783,0.04065967016491754,0.047181409295352326,0.06674662668665668,2.2571523189544678,68.9655172413793,0.0,6.133333333333334
carpet,autoencoder,123,0.0887560343928635,71.42857142857143,977.7777777777777,0.16849206349206347,0.26626984126984127,0.5596031746031745,0.08894994308240711,71.42857142857143,977.7777777777777,0.16849206349206347,0.26626984126984127,0.5596031746031745,0.08894994308240711,5.0,977.7777777777777,0.16849206349206347,0.26626984126984127,0.5596031746031745,0.05077781807631254,1000.0,0.0,0.0
carpet,autoencoder,2026,0.09356967387720942,0.0,1000.0,0.1,0.2,0.5,0.09427146068774164,0.0,1000.0,0.1,0.2,0.5,0.09427146068774164,0.0,1000.0,0.1,0.2,0.5,0.046265825629234314,1000.0,0.0,0.0
carpet,autoencoder,42,0.08692599840462208,71.42857142857143,1000.0,0.1707142857142857,0.27071428571428574,0.5707142857142857,0.0870935731008649,71.42857142857143,1000.0,0.1707142857142857,0.27071428571428574,0.5707142857142857,0.0870935731008649,5.0,1000.0,0.1707142857142857,0.27071428571428574,0.5707142857142857,0.04846775997430086,1000.0,0.0,0.0
carpet,padim,123,10.868692064285279,142.85714285714286,111.1111111111111,0.15253968253968253,0.16365079365079366,0.19698412698412698,10.900789570808412,142.85714285714286,111.1111111111111,0.15253968253968253,0.16365079365079366,0.19698412698412698,11.059362411499023,5.0,177.77777777777777,0.0884920634920635,0.10626984126984126,0.1596031746031746,8.99671459197998,357.14285714285717,0.0,7.627118644067797
carpet,padim,2026,11.688416719436644,0.0,222.2222222222222,0.022222222222222223,0.044444444444444446,0.1111111111111111,11.781757950782776,0.0,222.2222222222222,0.022222222222222223,0.044444444444444446,0.1111111111111111,12.107491493225098,0.0,288.88888888888886,0.028888888888888888,0.057777777777777775,0.14444444444444443,10.0692777633667,214.28571428571428,44.44444444444444,7.627118644067797
carpet,padim,42,11.602301216125486,0.0,244.44444444444443,0.024444444444444442,0.048888888888888885,0.12222222222222222,11.738700199127198,0.0,244.44444444444443,0.024444444444444442,0.048888888888888885,0.12222222222222222,11.996092796325684,0.0,266.6666666666667,0.026666666666666665,0.05333333333333333,0.13333333333333333,8.99671459197998,428.57142857142856,22.22222222222222,7.627118644067797
carpet,patchcore,123,1.272550138235092,214.28571428571428,22.22222222222222,0.21436507936507934,0.21658730158730158,0.22325396825396823,1.2775892180204391,142.85714285714286,22.22222222222222,0.14365079365079364,0.14587301587301588,0.15253968253968253,1.5008597373962402,0.0,155.55555555555557,0.015555555555555557,0.031111111111111114,0.07777777777777778,1.3121007680892944,0.0,22.22222222222222,7.627118644067797
carpet,patchcore,2026,1.3031777226924897,0.0,44.44444444444444,0.0044444444444444444,0.008888888888888889,0.022222222222222223,1.3066100519895554,0.0,44.44444444444444,0.0044444444444444444,0.008888888888888889,0.022222222222222223,1.437867283821106,0.0,111.1111111111111,0.011111111111111112,0.022222222222222223,0.05555555555555555,1.3121007680892944,0.0,44.44444444444444,7.627118644067797
carpet,patchcore,42,1.2876149320602417,71.42857142857143,66.66666666666667,0.07738095238095238,0.08404761904761905,0.10404761904761906,1.287983114719391,71.42857142857143,66.66666666666667,0.07738095238095238,0.08404761904761905,0.10404761904761906,1.3635138273239136,0.0,88.88888888888889,0.008888888888888889,0.017777777777777778,0.044444444444444446,1.3121007680892944,0.0,66.66666666666667,7.627118644067797
grid,autoencoder,123,0.02011638507246971,66.66666666666667,0.0,0.066,0.066,0.066,0.020126623567193747,66.66666666666667,0.0,0.066,0.066,0.066,0.02590093994513154,0.0,0.0,0.0,0.0,0.0,0.026207420509308577,0.0,0.0,0.0
grid,autoencoder,2026,0.020640791682526468,0.0,0.0,0.0,0.0,0.0,0.02064080038573593,0.0,0.0,0.0,0.0,0.0,0.027248654048889875,0.0,0.0,0.0,0.0,0.0,0.028263750486075878,0.0,0.0,0.0
grid,autoencoder,42,0.02059985657222569,66.66666666666667,0.0,0.066,0.066,0.066,0.02061407667119056,66.66666666666667,0.0,0.066,0.066,0.066,0.026977908797562122,0.0,131.57894736842104,0.013157894736842105,0.02631578947368421,0.06578947368421052,0.024948705453425646,0.0,0.0,0.0
