category,method,image_auroc_mean,image_auroc_std,aupro_mean,aupro_std,pixel_auroc_mean,pixel_auroc_std,mrd_mean,mrd_std,p50_model_ms,p50_e2e_ms,fps_model,fps_e2e,peak_vram_mb
bottle,autoencoder,0.5113636363636364,0.006604392338697947,0.44594532131337844,0.0020679388493885023,0.6904668762604279,0.0032013930498441187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottle,padim,0.996969696969697,0.0,0.8666231269833368,1.3249965676038067e-08,0.9547843968399405,4.9240124314330445e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottle,patchcore,1.0,0.0,0.870809739690014,7.929382338113337e-08,0.9617571881279043,9.143266382388751e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cable,autoencoder,0.4533983008495752,0.0009432576755710166,0.38893795060723185,0.014703422516354077,0.6277988174555639,0.07237257091663837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cable,padim,0.8616941529235382,0.0,0.9075862164557257,2.7929797931380707e-08,0.96832061587511,1.6209123026225346e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cable,patchcore,0.990254872563718,0.0,0.941935467518185,0.0,0.9854287342248108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carpet,autoencoder,0.3810861423220973,0.009447947237244675,0.43116381641962337,0.018725505150715933,0.7280301318437923,0.025768998072818575,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carpet,padim,0.9638844301765651,0.0,0.9549185944891612,1.7030974158827504e-09,0.9873612223832748,6.32314504097331e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carpet,patchcore,0.9839486356340289,0.0,0.9486246042095959,0.00010399847584250519,0.989680980483355,8.09296073406356e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hazelnut,autoencoder,0.7783333333333333,0.011079106400764286,0.9019659470182413,0.0017941146093369957,0.9796684735337826,0.0005998360852381615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hazelnut,padim,0.8403571428571427,0.0,0.9041818724629724,6.127691619589959e-10,0.9828758840283757,4.1425922719666485e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hazelnut,patchcore,0.9996428571428572,0.0,0.9195971609588919,0.0007129497701198087,0.9870283845258498,3.954138400482977e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metal_nut,autoencoder,0.29423264907135877,0.009426833588458378,0.345300748814166,0.012484848163562238,0.6675783944046101,0.006028236516679048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metal_nut,padim,0.9711632453567937,0.0,0.9172901912623331,3.7766703455183645e-08,0.9691914891123957,7.210823231119536e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metal_nut,patchcore,0.9980449657869013,0.0,0.9397056774374569,5.941354329443811e-06,0.9840018145179449,8.043980453384906e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
